before,checkout,dairy,drinks,fruit,spices
dairy,0.10267806908968155,0.7369190953077529,0.05873748171486441,0.05012940249803083,0.051535951389670306
drinks,0.2155048324079786,0.01089862224964014,0.598601686201933,0.08801151552539585,0.08698334361505243
entrance,0.0,0.2879870567614939,0.15329648105703114,0.37737629769448566,0.18134016448698934
fruit,0.20105445388731508,0.09608120868744098,0.05500472143531634,0.5970254957507082,0.05083412023921939
spices,0.1498884995221408,0.19321439949028352,0.163109270468302,0.09158967824147818,0.4021981522777955
