DATE,remainder
1970-01-01,-12.766935381620943
1970-01-02,-4.867007088018431
1970-01-03,-1.3670787944159206
1970-01-04,-4.367150500813409
1970-01-05,-2.967222207210897
1970-01-06,-4.667293913608387
1970-01-07,-7.067365620005876
1970-01-08,-10.167437326403364
1970-01-09,-6.167509032800852
1970-01-10,-2.5675807391983416
1970-01-11,0.9323475544041703
1970-01-12,0.532275848006682
1970-01-13,0.7322041416091921
1970-01-14,1.0321324352117038
1970-01-15,1.2320607288142158
1970-01-16,-3.5680109775832745
1970-01-17,-5.468082683980763
1970-01-18,-7.668154390378251
1970-01-19,-7.668226096775741
1970-01-20,-6.368297803173229
1970-01-21,-6.268369509570718
1970-01-22,-7.668441215968206
1970-01-23,-6.268512922365696
1970-01-24,-3.5685846287631837
1970-01-25,-0.6686563351606719
1970-01-26,2.2312719584418383
1970-01-27,1.03120025204435
1970-01-28,-1.2688714543531383
1970-01-29,-3.3689431607506286
1970-01-30,-6.869014867148117
1970-01-31,-9.469086573545605
1970-02-01,-13.030916211839084
1970-02-02,-6.730987918236572
1970-02-03,1.7689403753659407
1970-02-04,2.6688686689684515
1970-02-05,2.0687969625709624
1970-02-06,-2.631274743826526
1970-02-07,-1.131346450224015
1970-02-08,1.768581843378496
1970-02-09,0.6685101369810078
1970-02-10,0.06843843058351862
1970-02-11,-1.4316332758139696
1970-02-12,-1.4317049822114587
1970-02-13,-2.431776688608948
1970-02-14,-4.931848395006436
1970-02-15,-8.131920101403924
1970-02-16,-5.731991807801414
1970-02-17,-6.032063514198903
1970-02-18,-4.132135220596392
1970-02-19,-5.7322069269938805
1970-02-20,0.16772136660863124
1970-02-21,0.6676496602111421
1970-02-22,0.06757795381365383
1970-02-23,-1.9324937525838353
1970-02-24,-2.7325654589813233
1970-02-25,-0.23263716537881252
1970-02-26,-2.832708871776302
1970-02-27,-3.53278057817379
1970-02-28,-3.932852284571279
1970-03-01,-6.226083903272659
1970-03-02,-4.426155609670148
1970-03-03,-5.326227316067637
1970-03-04,-5.226299022465125
1970-03-05,-4.126370728862614
1970-03-06,-4.326442435260103
1970-03-07,-4.4265141416575915
1970-03-08,-4.72658584805508
1970-03-09,-4.226657554452569
1970-03-10,-3.6267292608500576
1970-03-11,-4.026800967247547
1970-03-12,-1.8268726736450347
1970-03-13,-3.8269443800425242
1970-03-14,-5.027016086440013
1970-03-15,-5.027087792837501
1970-03-16,-3.5271594992349904
1970-03-17,0.07276879436752104
1970-03-18,-0.22730291202996789
1970-03-19,-0.8273746184274566
1970-03-20,-0.8274463248249448
1970-03-21,2.3724819687775662
1970-03-22,2.372410262380078
1970-03-23,0.8723385559825889
1970-03-24,-1.7277331504149007
1970-03-25,-3.127804856812389
1970-03-26,-2.227876563209878
1970-03-27,-2.4279482696073673
1970-03-28,-4.328019976004855
1970-03-29,-3.6280916824023444
1970-03-30,1.8718366112001679
1970-03-31,3.2717649048026782
1970-04-01,-3.4879005065380158
1970-04-02,-6.787972212935505
1970-04-03,-7.588043919332993
1970-04-04,-7.588115625730483
1970-04-05,-8.18818733212797
1970-04-06,-3.9882590385254586
1970-04-07,-5.688330744922949
1970-04-08,-2.888402451320437
1970-04-09,-5.788474157717925
1970-04-10,-6.788545864115416
1970-04-11,-5.788617570512903
1970-04-12,-5.588689276910392
1970-04-13,-3.4887609833078814
1970-04-14,-3.4888326897053696
1970-04-15,-1.9889043961028579
1970-04-16,0.6110238974996545
1970-04-17,4.910952191102163
1970-04-18,4.010880484704677
1970-04-19,4.110808778307188
1970-04-20,-1.2892629280903023
1970-04-21,0.8106653655122091
1970-04-22,2.810593659114721
1970-04-23,4.110521952717232
1970-04-24,2.3104502463197427
1970-04-25,2.110378539922255
1970-04-26,2.1103068335247652
1970-04-27,-1.1897648728727237
1970-04-28,-1.689836579270212
1970-04-29,-4.7899082856677015
1970-04-30,-4.48997999206519
1970-05-01,-8.90759452483257
1970-05-02,-5.407666231230058
1970-05-03,-3.007737937627546
1970-05-04,-2.8078096440250366
1970-05-05,0.2921186495774748
1970-05-06,4.592046943179987
1970-05-07,5.091975236782499
1970-05-08,7.391903530385012
1970-05-09,5.591831823987523
1970-05-10,5.391760117590033
1970-05-11,-0.508311588807457
1970-05-12,-2.8083832952049477
1970-05-13,-2.4084550016024355
1970-05-14,-1.808526707999924
1970-05-15,-1.208598414397411
1970-05-16,-0.6086701207949012
1970-05-17,-1.3087418271923905
1970-05-18,1.5911864664101198
1970-05-19,0.991114760012632
1970-05-20,-2.0089569463848562
1970-05-21,-2.0090286527823444
1970-05-22,-3.709100359179832
1970-05-23,-3.6091720655773223
1970-05-24,-0.8092437719748116
1970-05-25,3.5906845216277006
1970-05-26,-0.009387184769789059
1970-05-27,-3.609458891167277
1970-05-28,-1.7095305975647648
1970-05-29,-0.5096023039622555
1970-05-30,0.590325989640256
1970-05-31,-2.209745716757233
1970-06-01,-4.24017692930439
1970-06-02,-4.040248635701882
1970-06-03,-2.4403203420993673
1970-06-04,-1.5403920484968587
1970-06-05,1.459536245105653
1970-06-06,3.459464538708165
1970-06-07,4.359392832310675
1970-06-08,6.159321125913188
1970-06-09,6.259249419515697
1970-06-10,3.359177713118214
1970-06-11,4.359106006720722
1970-06-12,-1.8409656996767687
1970-06-13,-0.4410374060742548
1970-06-14,-0.44110911247174656
1970-06-15,2.258819181130768
1970-06-16,4.158747474733275
1970-06-17,3.758675768335788
1970-06-18,2.8586040619383013
1970-06-19,5.15853235554081
1970-06-20,8.158460649143322
1970-06-21,8.958388942745831
1970-06-22,8.158317236348346
